cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","9/30/2018","11/14/2018","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","48","354182","29354","24373","42367","472","251005","1874","0","5169","605","2252","22958","354182","303315","297481","210507","297481","75.3708271444798","0","0","0","0","5834","50867","50867","0","13242","33764","3861","0","4746","0","1101","318217","108799","350623.25","349006","249492","341670","14149","4261","0","9888","19920","8834","0","0","37895","46180","2132","37895","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","9/30/2018","11/14/2018","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","18","106410","6602","5899","2969","0","90655","845","0","1984","3173","0","1027","106410","95835","83670","65418","83670","81.0034387238514","0","0","11985","0","180","10575","10575","0","534","16797","-6756","0","26","0","218","99523","8102","102704.25","103513.5","91064","100623","0","0","0","0","13498","2039","11985","0","11653","10624","845","11653","0"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","9/30/2018","11/14/2018","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","9","47169","21531","18004","0","0","23719","921","0","928","0","0","991","47168","40354","40214","29143","40214","89.6970751223876","0","0","0","0","140","6814","6814","0","657","4443","1714","0","0","0","721","41723","92","49580","48107","26983","48260","0","0","0","0","300","0","0","0","1756","6814","344","1756","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","9/30/2018","11/14/2018","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","44","152898","8576","2035","42926","4438","90501","1160","0","5133","0","0","1324","152898","137301","136935","87914","136935","82.9478924853635","0","0","0","0","366","15597","15597","0","500","752","14345","0","56","0","897","139900","38478","151817.75","153705","81825","153128","0","0","0","0","2565","481","0","0","2639","16176","1024","2639","0"
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","9/30/2018","11/14/2018","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","14","39203","10904","9905","9239","72","17870","95","0","442","51","0","625","39203","35747","35653","28501","35653","90.8927820602663","0","0","0","0","94","3456","3456","0","300","300","2856","0","133","0","210","37086","6393","40304.25","39984.5","17056","40092","0","0","0","0","2092","85","0","0","1664","3576","95","1664","0"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","9/30/2018","11/14/2018","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","40","260036","51327","48266","22924","3000","167547","1067","0","5162","619","0","9457","260036","234356","228133","187212","228133","69.440389934295","0","0","0","0","6223","25680","25680","0","100","0","25580","0","1612","0","641","241737","126507","253637","257120.5","136397","256142","6111","4731","0","1380","18956","8531","0","0","19502","25717","1067","19502","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","9/30/2018","11/14/2018","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","71","316013","41097","31150","17564","5235","230481","2291","0","5769","1918","3035","10914","316013","281287","278587","164639","278587","77.6004651763794","0","0","0","0","2700","34726","34726","0","5165","13820","15741","0","49","0","930","284430","141441","319569.25","323782.5","266322","320901","7392","4366","0","3026","11048","8660","0","0","69762","32635","2306","69762","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","9/30/2018","11/14/2018","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","14","62796","22197","21140","14493","0","25124","249","0","610","0","0","372","62796","57613","45938","36310","45938","79.9960823575502","11420","0","0","0","255","5183","5183","0","500","1337","3346","0","281","0","205","60757","8506","60577.25","60671.5","22799","60208","0","0","0","0","13695","61","0","0","3065","5183","249","3065","0"
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","9/30/2018","11/14/2018","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","83","606635","39974","26311","68154","0","479166","6435","0","2109","0","74","17158","606635","550231","547888","299852","547888","50.5605714671587","0","0","0","0","2343","56404","56404","0","48286","2418","5700","0","2906","93","1661","573631","171477","598325.5","608137.5","445416","616248","7813","0","0","7813","7191","11250","0","1000","80307","57166","5580","80307","0"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","9/30/2018","11/14/2018","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","67","539158","16032","15252","108296","300","399767","5519","0","837","104","0","13822","539158","497900","493407","432820","493407","49.7743900832943","3167","0","0","0","1326","41258","41258","0","1025","16200","24033","0","2053","0","1824","523615","187549","539727.75","546209","356193","555003","8614","7329","0","1285","57712","934","0","4472","64869","41939","4466","64869","0"
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","9/30/2018","11/14/2018","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","18","62022","5387","1715","9345","0","45795","460","0","698","0","0","797","62022","56044","53860","45927","53860","81.7611929225861","0","0","2000","0","184","5978","5978","0","200","1320","4458","0","31","0","649","56855","8235","64118.25","62792","48298","63179","0","0","0","0","9040","2825","2000","0","4357","6419","460","4357","0"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","9/30/2018","11/14/2018","NM","2650 Route 130","1ST CONSTITUTION BANCORP","20","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.1stconstitution.com","188","1191924","19264","15480","222571","0","877635","8265","0","11768","2515","13189","44982","1191924","1050078","942075","730185","942075","82.7153143628365","0","0","99475","0","8528","141846","141846","0","6061","84378","51407","0","6761","0","3651","1115686","197342","1140001.25","1210439","1087456","1175030","28555","18579","0","9976","131507","5555","99475","4362","478145","131535","8265","478145","1907"
