cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","9/30/2018","11/14/2018","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","34237","24798","8528","13296","25612","11599","19920","1323","10546","6349","1702"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","9/30/2018","11/14/2018","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","14776","18279","5325","12455","13780","1495","9513","2067","2317","4632","497"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","9/30/2018","11/14/2018","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","3664","2871","2353","2905","1133","144","300","0","0","300","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","9/30/2018","11/14/2018","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","18202","9499","5777","17558","4365","0","2565","781","1785","0","0"
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","9/30/2018","11/14/2018","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","8320","4827","5211","6982","738","217","2092","0","2092","0","0"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","9/30/2018","11/14/2018","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","13969","8166","4762","9697","3974","3702","18956","18077","359","520","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","9/30/2018","11/14/2018","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","11907","13889","9407","9565","4641","2183","11048","969","4366","2690","3024"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","9/30/2018","11/14/2018","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","5518","1630","1810","3748","1093","497","2275","409","1336","530","0"
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","9/30/2018","11/14/2018","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","3379","5441","2471","4652","1697","0","7191","1823","4613","755","0"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","9/30/2018","11/14/2018","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","31584","64312","25284","24065","42118","4429","54545","20565","24024","9688","268"
